timestamp,tweet_text,username,all_hashtags,followers_count,location
2020-04-14 02:30:06,b'Confirmed COVID-19 cases in Australia!\xf0\x9f\x87\xa6\xf0\x9f\x87\xba Updated: 04/13/20 Visit: \xf0\x9f\x93\x8a https://t.co/8Gxlkdgurt for the latest updates. #Coronavirus #COVID19 #CoronavirusPandemic #Pandemic #Epidemic https://t.co/hfuBUMjaUv',b'COVID2019app',"['Coronavirus', 'COVID19', 'CoronavirusPandemic', 'Pandemic', 'Epidemic']",7591,b'Worldwide'
2020-04-14 02:30:06,"b'Qantas, Virgin Australia to finalise funding package with government: https://t.co/SxqZWNMc5R #Aviation #Airlines #COVID19 #Coronavirus https://t.co/cc9Kk3ZGJC'",b'SpeedBird_NCL',"['Aviation', 'Airlines', 'COVID19', 'Coronavirus']",22721,b'Worldwide'
2020-04-14 02:30:05,b'Are you seeing any data about how quickly people are spending money? Do you see us going back in to a quasi-normal situation within the next two months? @TonyNashOnAsia interviews Dave Mayo of FedFis about #finance and #banking in #coronavirus #COVID19.  https://t.co/N9yiEfrGsQ https://t.co/x3xTaOItyO',b'complete_intel',"['finance', 'banking', 'coronavirus', 'COVID19']",1209,b'USA'
2020-04-14 02:30:04,b'https://t.co/MEgQpnYKz2 Study: #CDC finds that #COVID19 could travel on #shoes - #footwear #coronavirus',b'project4truth',"['CDC', 'COVID19', 'shoes', 'footwear', 'coronavirus']",136,"b'Chicago, IL'"
2020-04-14 02:30:03,b'How can I get #medicalmarijuana in #Pennsylvania during the #CoronavirusPandemic? via @PhillyInquirer. #mmj #medicalcannabis #coronavirus #Covid_19 #COVID19. https://t.co/aipPtufYkX.',b'CBMedTeam',"['medicalmarijuana', 'Pennsylvania', 'CoronavirusPandemic', 'mmj', 'medicalcannabis', 'coronavirus', 'Covid_19', 'COVID19']",613,b''
2020-04-14 02:30:01,"b'Two images have hit me like a punch in the gut during this pandemic. 1. The long lines at the food bank. 2. The trenches being built for the deceased in New York. Those images are surreal, as if from another country or another time. #COVID19 #coronavirus https://t.co/p6akJSJ5nj'",b'TexasElsa',"['COVID19', 'coronavirus']",2092,"b'Houston, TX'"
2020-04-14 02:30:00,"b'Here\xe2\x80\x99s a way to support OUR community through this #coronavirus pandemic: KMBC and KCWE are joining other Kansas City broadcasters for OneKC, a day of giving. And all of the money will stay in OUR community. \xe2\x9d\xa4\xef\xb8\x8f #stayhomekc #wearebroadcasters #covid19 https://t.co/VMrSbBSEKp'",b'kmbc',"['coronavirus', 'stayhomekc', 'wearebroadcasters', 'covid19']",172864,"b'Kansas City, MO'"
2020-04-14 02:30:00,"b'It might have limited resources, but Vietnam has kept the #coronavirus outbreak under control, and even managed to help others. https://t.co/UNJHh49AAf #Covid19 https://t.co/qdJJI3PnnF'",b'SCMPNews',"['coronavirus', 'Covid19']",744252,b'Hong Kong'
2020-04-14 02:30:00,b'The study found higher levels of ACE-2 in current smokers than non-smokers or the ones who quit smoking. #covid19 #coronavirus #smoking https://t.co/h1fdODX89v',b'ETPanache',"['covid19', 'coronavirus', 'smoking']",32265,"b'New Delhi, India'"
2020-04-14 02:30:00,b'United we stand 6 feet apart. #BreakTheChain  #FederalBankLtd #perfectbankingpartner #lockdown #StayHomeStaySafe #Covid19 #CoronaVirus #SocialDistancing #IndiaFightsCorona  #CoronaUpdatesInIndia #federalbank #ambedkarjayanti https://t.co/sgcXlp3HbJ',b'FederalBankLtd',"['BreakTheChain', 'FederalBankLtd', 'perfectbankingpartner', 'lockdown', 'StayHomeStaySafe', 'Covid19', 'CoronaVirus', 'SocialDistancing', 'IndiaFightsCorona', 'CoronaUpdatesInIndia', 'federalbank', 'ambedkarjayanti']",10190,b'India'
2020-04-14 02:29:52,b'Northeast governors announce pact ahead of economy reopening efforts: https://t.co/2BlG5xSTtN #Coronavirus #COVID19',b'CABNewsOnline',"['Coronavirus', 'COVID19']",174,"b'Brownsville, TX'"
2020-04-14 02:29:50,b'The Federal Reserve President of Minneapolis thinks there will be ongoing shutdowns for the next 18 months.  Get ready for a bumpy ride with the U.S. trying to open up the economy at the same time.  #covid19  #unemployment  #coronavirus  #depression  #recession https://t.co/9MdF4vcZGn',b'HueFin_News',"['covid19', 'unemployment', 'coronavirus', 'depression', 'recession']",318,b''
2020-04-14 02:29:48,b'Total world wide cases racing towards 2 Million mark   #coronavirus #coronarvirues #CoronaOutbreak #Wuhan #China #COVID19 #India #COVID #coronavirusindia #CoronaVirusUpdate #ChineseVirus #WuhanVirus #US #Italy #Spain #Germany #France #UK #Iran #WHO https://t.co/ECgOw23gIF',b'yogendrapal72',"['coronavirus', 'coronarvirues', 'CoronaOutbreak', 'Wuhan', 'China', 'COVID19', 'India', 'COVID', 'coronavirusindia', 'CoronaVirusUpdate', 'ChineseVirus', 'WuhanVirus', 'US', 'Italy', 'Spain', 'Germany', 'France', 'UK', 'Iran', 'WHO']",10287,b''
2020-04-14 02:29:48,"b'I\xe2\x80\x99m the mom of 3 boys, I use to dream of a day when there were no sports to watch on TV then maybe I could control the remote...but I must admit...I miss sports.  #boymom #coronavirus #COVID19'",b'melmcgrath10',"['boymom', 'coronavirus', 'COVID19']",334,"b'Massachusetts, USA'"
2020-04-14 02:29:47,"b""During #COVID19 pandemic, you may feel several contradictory feelings at the same time.  And Yes! It's totally and absolutely normal!   #emotions #coronavirus #StayHome  #StayAtHome  #StaySafe  #Mentalhealth #awareness #counselling  #DudukRumah #pandemic #lockdown #malaysia https://t.co/I3MFMh5vIs""",b'huilingyap',"['COVID19', 'emotions', 'coronavirus', 'StayHome', 'StayAtHome', 'StaySafe', 'Mentalhealth', 'awareness', 'counselling', 'DudukRumah', 'pandemic', 'lockdown', 'malaysia']",8,"b'Kuala Lumpure, Malaysia'"
2020-04-14 02:29:44,b'There is some intelligence in the Central Intelligence Agency after all. #hydroxychloriquine #cardiacarrest #presidentsnakeoil #wildwestmedicine #chloroquine #DictatorTrump #COVID19 #COVID #coronavirus https://t.co/uQG8YRWJgR',b'WickedWriter89',"['hydroxychloriquine', 'cardiacarrest', 'presidentsnakeoil', 'wildwestmedicine', 'chloroquine', 'DictatorTrump', 'COVID19', 'COVID', 'coronavirus']",131,b'Yut '
